SKU code,Barcode,Product Name,Price,Customer Discounted Price
EX-48a3c4ba,,212 VIP - This is a Private Party! NYC Eau De Parfum (100ml) Perfume,10000.0,9000.0
SKU-133994-TARSRTMYHD,,3 Ballerina  - Ballerina Tea (18 Tea Bags) ,7500.0,6750.0
EX-48176ab4,,4th Street - Red Wine (75cl) ,6000.0,5400.0
CSV-59716345,,5 alive - berry blast juice (1l),2000.0,1800.0
CSV-3e65cdc5,,5 Alive - Pulpy Orange (85cl),1600.0,1440.0
EX-1cbc003f,,818 - Tequila Blanco (70cl),83850.0,75465.0
SKU-133994-FSH8KLAV5H,,818 Reposado ,125000.0,112500.0
EX-089ee3a1,,Absolut - Vodka (75cl),22000.0,19800.0
,,Aeroplane - basmati rice la taste (1kg),5000.0,4500.0
SKU-133994-DC7SXVY2MQ,,Afre - Shoe Restorer Suede Polish ,3100.0,2790.0
SKU-133994-NE6S4KVHQE,,African Sponge,2000.0,1800.0
SKU-133994-S8R6UEY2FW,,Agor red wine ,12000.0,10800.0
SKU-133994-FNCGV434HC,,Air Wick - Refill Lavender Life Scents (250ml),3500.0,3150.0
SKU-133994-FTYUHZZRC1,,Air Wick - Refill Summer Bloom Life Scents (300ml),3500.0,3150.0
SKU-133994-KW1CKMNEPR,,Always - Sanitary Pad 3 in 1 (14pcs),5000.0,4500.0
SKU-133994-3WJZC6S2JC,,Always - Ultra Thin Sanitary Pad  (8pcs),1900.0,1710.0
SKU-133994-8M57V8C76K,,Amanda - Kitchen Sponge Scouring Pad,700.0,630.0
SKU-133994-L9FJEUNE8V,,Amarula - Cream Liqueur Includes 1 Glass (700ml),22500.0,20250.0
SKU-133994-DXD3G8YHWA,,Ambipur - Anti-Tobacco Air Freshener (300ml) ,3750.0,3375.0
SKU-133994-DVBZDJHNB8,,Americano Midi - White Fresh & Tasty Bread ,900.0,810.0
,,Amooy - blended sesame oil (150ml),,
Cooking Oil,,per item,0.0,0.0
CSV-a833505a,,Amstel Malt - Non Alcoholic Malt Drink (330ml) ,900.0,810.0
SKU-133994-671PUPYNWA,,Amstel Malta - Pack of 24 (330ml x 24),20000.0,18000.0
EX-f0c8d790,,Andre - Rose (75cl),15000.0,13500.0
EX-1e417985,,Andre Brut,15000.0,13500.0
EX-4527ecc7,,Andre Champagne - Blush (75cl) ,15000.0,13500.0
CSV-7bb8c159,,Aquafina - 12 Pack of Bottled Water (50cl),3000.0,2700.0
SKU-133994-3SUQZQXRRE,,Aquafina - 12 Pack of Bottled Water (75cl),3800.0,3420.0
CSV-7e1c227d,,Aquafina - Bottled Water (75cl),350.0,315.0
CSV-f018afa8,,Aquafina Water(50cl),300.0,270.0
CSV-d0e3408c,,Arizona - Watermelon Fruit Juice (650ml) ,4500.0,4050.0
SKU-133994-WSN4ZAH5WH,,Asantee - 2 in 1 Papaya & Carrot Bar Soap (125g) ,2750.0,2475.0
EX-2b1f6a40,,Axe - Dark Temptation (150ml) ,6300.0,5670.0
,,Ayoola - poundo yam flour (1.8kg),,
Pounded Yam,,per item,0.0,0.0
EX-d8c81a3c,,Aznauri Black Barrel -VVSOP (75cl),40000.0,36000.0
SKU-133994-DCTQ3TTG2Y,,Baby Towel - 100% Cotton,15000.0,13500.0
EX-0d2da539,,Bacardi - Superior White Rum (1L),20000.0,18000.0
SKU-133994-ACSBHHM7R2,,Backwoods - Russian Cream 1 Cigar ,4500.0,4050.0
SKU-133994-DNKPQMQDKP,,Backwoods - Russian Cream Tobacco Leaf Cigar (5),18000.0,16200.0
SKU-133994-EVZDYUPK7H,,Backwoods - Silver Tobacco Cigar Leaf ,16500.0,14850.0
EX-a24da851,,Baileys - 70cl,30000.0,27000.0
EX-595d84bb,,Baileys Strawberry 70cl,29500.0,26550.0
RM-dca1a3be,,Bakemate - Bourbon Chocolate Cream Biscuit Cookies (175g) Cookie Biscuits,2000.0,1800.0
SKU-133994-A5XZJYLSNT,,Baker’s Choice - Bicarbonate of Soda (Baking Soda) (200g),7000.0,6300.0
SKU-133994-L9NWH2HBBU,,Bama - Mayonnaise (236ml) ,2250.0,2025.0
SKU-133994-B26EL3XB36,,Bama - Mayonnaise (385ml) ,3500.0,3150.0
SKU-133994-R6LE8YTBRG,,Bama - Mayonnaise (857ml) ,6250.0,5625.0
,,Beans - brown uncooked derica (600g),1700.0,1530.0
,,Beans - brown uncooked half derica (300g),900.0,810.0
,,Beans - brown uncooked half painter bucket (1.2kg),3500.0,3150.0
,,Beans - brown uncooked painter bucket (2.4kg),7000.0,6300.0
RM-fcdcef5d,,Beloxxi Cream Crackers (40g),800.0,720.0
SKU-133994-7LUQ1KSJ2L,,Benson & Edges - Menthol Boost Cigarettes Tobacco ,1500.0,1350.0
SKU-133994-TH4J3HEYK1,,Benson & Hedges - Special Filter Cigarettes Tobacco ,2000.0,1800.0
SKU-133994-ZVYHE6JGAK,,Benson & Hedges - Switch Cigarettes Tobacco ,2000.0,1800.0
SKU-133994-3D4CVEZDVY,,Bigi - Cola (60cl) ,600.0,540.0
SKU-133994-P3WVU45L31,,Bigi - Tropical (60cl) ,600.0,540.0
EX-e11d3d3b,,Black Bullet - Black Can (330ml),2000.0,1800.0
SKU-133994-YBKTWHKD2F,,Blended Crayfish - Milk Cup ,2000.0,1800.0
SKU-133994-P86S34EDK8,,Blended Egusi - Milk Cup ,1000.0,900.0
SKU-133994-WNKL5VYNW9,,Blended Ogbono - Milk Cup ,2000.0,1800.0
,,Blue band - spread your bread (250g),2000.0,1800.0
,,Blue band - spread your bread (450g),2800.0,2520.0
SKU-133994-FPYJ49LKFP,,Blue Pearl - Strawberry Jam (450g),3500.0,3150.0
EX-45285f36,,Boss Orange - Men Eau De Parfum (100ml),10000.0,9000.0
